AIM.Indicator,terradat_name,Land.Health.Standard.and/or.Management.Question,"Semiarid Warm - Shallow, Deep Rocky",Semiarid Warm - Finer Uplands,Semiarid Warm - Very Shallow,"Semiarid Warm - Sandy Uplands, Loamy Uplands",Semiarid Warm - Breaks,Semiarid Warm - Saline Uplands,"Semiarid Warm - Sandy Bottoms, Bottoms",Semiarid Cool - Deep Rocky,Semiarid Warm - Saline Bottoms,Semiarid Cool - Breaks,Semiarid Cool - Shallow,"Semiarid Cool - Saline Uplands, Sandy Uplands, Loamy Uplands, Finer Uplands",Semiarid Warm - Saline Hills,Arid Warm - Saline Uplands,Semiarid Warm - Clay Uplands
Bare ground (%),BareSoilCover,LHA Standard 1:  Bare ground does not exceed adequate amounts.,Suitable: >= 0 & < 13.9;  Marginal: >= 13.9 & < 25.3;  Unsuitable: >= 25.3 & < 88.7,Suitable: >= 0 & < 22.7;  Marginal: >= 22.7 & < 33.3;  Unsuitable: >= 33.3 & < 83.2,Suitable: >= 0 & < 20;  Marginal: >= 20 & < 29.3;  Unsuitable: >= 29.3 & < 95,Suitable: >= 0 & < 20;  Marginal: >= 20 & < 32.7;  Unsuitable: >= 32.7 & < 80.2,Suitable: >= 0 & < 10.7;  Marginal: >= 10.7 & < 18.7;  Unsuitable: >= 18.7 & < 60,Suitable: >= 0 & < 35.7;  Marginal: >= 35.7 & < 48;  Unsuitable: >= 48 & < 82.2,Suitable: >= 0 & < 14.3;  Marginal: >= 14.3 & < 28.7;  Unsuitable: >= 28.7 & < 86.1,Suitable: >= 0 & < 8.9;  Marginal: >= 8.9 & < 17.3;  Unsuitable: >= 17.3 & < 60,Suitable: >= 0 & < 36.5;  Marginal: >= 36.5 & < 51.3;  Unsuitable: >= 51.3 & < 92.7,Suitable: >= 0 & < 6.7;  Marginal: >= 6.7 & < 15.3;  Unsuitable: >= 15.3 & < 42.6,Suitable: >= 0 & < 10;  Marginal: >= 10 & < 18;  Unsuitable: >= 18 & < 85.3,Suitable: >= 0 & < 18;  Marginal: >= 18 & < 28.7;  Unsuitable: >= 28.7 & < 75.2,Suitable: >= 0 & < 45.3;  Marginal: >= 45.3 & < 56.6;  Unsuitable: >= 56.6 & < 92.7,Suitable: >= 0 & < 40;  Marginal: >= 40 & < 52.5;  Unsuitable: >= 52.5 & < 98,Suitable: >= 0 & < 8.7;  Marginal: >= 8.7 & < 15.8;  Unsuitable: >= 15.8 & < 78.7
Foliar cover (%),TotalFoliarCover,LHA Standard 1: and plant foliar cover is adequate to protect soils.,Suitable: >= 35.3 & < 60.7;  Marginal: >= 60.7 & < 98;  Unsuitable: >= 0 & < 35.3,Suitable: >= 36.7 & < 60.3;  Marginal: >= 60.3 & < 100;  Unsuitable: >= 5.3 & < 36.7,Suitable: >= 28 & < 49.3;  Marginal: >= 49.3 & < 94;  Unsuitable: >= 2 & < 28,Suitable: >= 38.7 & < 68;  Marginal: >= 68 & < 100;  Unsuitable: >= 4 & < 38.7,Suitable: >= 35.3 & < 58.4;  Marginal: >= 58.4 & < 92;  Unsuitable: >= 10.7 & < 35.3,Suitable: >= 26.7 & < 50.5;  Marginal: >= 50.5 & < 90;  Unsuitable: >= 2 & < 26.7,Suitable: >= 44.8 & < 80;  Marginal: >= 80 & < 97;  Unsuitable: >= 4 & < 44.8,Suitable: >= 54.2 & < 83.5;  Marginal: >= 83.5 & < 100;  Unsuitable: >= 12.9 & < 54.2,Suitable: >= 33.2 & < 61.4;  Marginal: >= 61.4 & < 97;  Unsuitable: >= 2 & < 33.2,Suitable: >= 49.8 & < 86;  Marginal: >= 86 & < 99.3;  Unsuitable: >= 26.7 & < 49.8,Suitable: >= 47 & < 75;  Marginal: >= 75 & < 99.3;  Unsuitable: >= 4.7 & < 47,Suitable: >= 48.5 & < 75.3;  Marginal: >= 75.3 & < 100;  Unsuitable: >= 16.8 & < 48.5,Suitable: >= 19.4 & < 38.7;  Marginal: >= 38.7 & < 75.2;  Unsuitable: >= 3.3 & < 19.4,Suitable: >= 19.3 & < 41.7;  Marginal: >= 41.7 & < 78.1;  Unsuitable: >= 0 & < 19.3,Suitable: >= 56 & < 80.7;  Marginal: >= 80.7 & < 98.7;  Unsuitable: >= 7.3 & < 56
Proportion of canopy gaps (%) > 25 cm,GapCover_25_plus,LHA Standard 1: are canopy and ground cover adequate.,Suitable: >= 0 & < 51.5;  Marginal: >= 51.5 & < 65.7;  Unsuitable: >= 65.7 & < 191.1,Suitable: >= 0 & < 47.6;  Marginal: >= 47.6 & < 61.6;  Unsuitable: >= 61.6 & < 95.5,Suitable: >= 0 & < 61.4;  Marginal: >= 61.4 & < 72.7;  Unsuitable: >= 72.7 & < 96.5,Suitable: >= 0 & < 43;  Marginal: >= 43 & < 63;  Unsuitable: >= 63 & < 97,Suitable: >= 0 & < 53.3;  Marginal: >= 53.3 & < 64.3;  Unsuitable: >= 64.3 & < 96.5,Suitable: >= 0 & < 57.4;  Marginal: >= 57.4 & < 72.1;  Unsuitable: >= 72.1 & < 98.3,Suitable: >= 0 & < 27.8;  Marginal: >= 27.8 & < 54.5;  Unsuitable: >= 54.5 & < 81.5,Suitable: >= 0 & < 21.9;  Marginal: >= 21.9 & < 37.2;  Unsuitable: >= 37.2 & < 85,Suitable: >= 0 & < 48.1;  Marginal: >= 48.1 & < 66.9;  Unsuitable: >= 66.9 & < 97.4,Suitable: >= 0.4 & < 16.8;  Marginal: >= 16.8 & < 41.4;  Unsuitable: >= 41.4 & < 61.9,Suitable: >= 0 & < 27.6;  Marginal: >= 27.6 & < 46.1;  Unsuitable: >= 46.1 & < 94.5,Suitable: >= 0 & < 25.2;  Marginal: >= 25.2 & < 39.7;  Unsuitable: >= 39.7 & < 82.1,Suitable: >= 0 & < 68.7;  Marginal: >= 68.7 & < 79.5;  Unsuitable: >= 79.5 & < 97.9,Suitable: >= 6.2 & < 67.6;  Marginal: >= 67.6 & < 81.7;  Unsuitable: >= 81.7 & < 101.7,Suitable: >= 0 & < 23.3;  Marginal: >= 23.3 & < 44.4;  Unsuitable: >= 44.4 & < 91
Proportion of canopy gaps (%) 101 cm to 200 cm,GapCover_101_200,LHA Standard 1:  are canopy and ground cover adequate.,Suitable: >= 0 & < 11.9;  Marginal: >= 11.9 & < 17.5;  Unsuitable: >= 17.5 & < 54,Suitable: >= 0 & < 11.8;  Marginal: >= 11.8 & < 18.3;  Unsuitable: >= 18.3 & < 42.6,Suitable: >= 0 & < 11.9;  Marginal: >= 11.9 & < 17.7;  Unsuitable: >= 17.7 & < 47.7,Suitable: >= 0 & < 10.9;  Marginal: >= 10.9 & < 18.2;  Unsuitable: >= 18.2 & < 45.9,Suitable: >= 0 & < 11;  Marginal: >= 11 & < 15.3;  Unsuitable: >= 15.3 & < 29.2,Suitable: >= 0 & < 14.8;  Marginal: >= 14.8 & < 21.8;  Unsuitable: >= 21.8 & < 36.6,Suitable: >= 0 & < 8.2;  Marginal: >= 8.2 & < 13.8;  Unsuitable: >= 13.8 & < 34.3,Suitable: >= 0 & < 6.9;  Marginal: >= 6.9 & < 12;  Unsuitable: >= 12 & < 32.3,Suitable: >= 0 & < 12.6;  Marginal: >= 12.6 & < 17.9;  Unsuitable: >= 17.9 & < 37.5,Suitable: >= 0 & < 6.1;  Marginal: >= 6.1 & < 10.5;  Unsuitable: >= 10.5 & < 24.4,Suitable: >= 0 & < 7.3;  Marginal: >= 7.3 & < 14;  Unsuitable: >= 14 & < 28.6,Suitable: >= 0 & < 6.9;  Marginal: >= 6.9 & < 13.1;  Unsuitable: >= 13.1 & < 39.8,Suitable: >= 0 & < 17.6;  Marginal: >= 17.6 & < 24.4;  Unsuitable: >= 24.4 & < 36.3,Suitable: >= 0 & < 16.4;  Marginal: >= 16.4 & < 22.4;  Unsuitable: >= 22.4 & < 43.9,Suitable: >= 0 & < 7.2;  Marginal: >= 7.2 & < 14.8;  Unsuitable: >= 14.8 & < 32.3
Proportion of anopy gaps (%) > 200cm,GapCover_200_plus,LHA Standard 1: are canopy and ground cover adequate.,Suitable: >= 0 & < 24;  Marginal: >= 24 & < 41;  Unsuitable: >= 41 & < 92.9,Suitable: >= 0 & < 13.6;  Marginal: >= 13.6 & < 28.8;  Unsuitable: >= 28.8 & < 87.5,Suitable: >= 0 & < 35.3;  Marginal: >= 35.3 & < 53;  Unsuitable: >= 53 & < 92.1,Suitable: >= 0 & < 14.7;  Marginal: >= 14.7 & < 32.4;  Unsuitable: >= 32.4 & < 93.9,Suitable: >= 0 & < 26.1;  Marginal: >= 26.1 & < 40.4;  Unsuitable: >= 40.4 & < 88.5,Suitable: >= 0 & < 15.9;  Marginal: >= 15.9 & < 33.6;  Unsuitable: >= 33.6 & < 95.7,Suitable: >= 0 & < 14.4;  Marginal: >= 14.4 & < 25.1;  Unsuitable: >= 25.1 & < 54.4,Suitable: >= 0 & < 8.2;  Marginal: >= 8.2 & < 15.2;  Unsuitable: >= 15.2 & < 44.1,Suitable: >= 0 & < 13.8;  Marginal: >= 13.8 & < 30.2;  Unsuitable: >= 30.2 & < 91.2,Suitable: >= 0 & < 9.3;  Marginal: >= 9.3 & < 12.1;  Unsuitable: >= 12.1 & < 35.8,Suitable: >= 0 & < 7.8;  Marginal: >= 7.8 & < 19.6;  Unsuitable: >= 19.6 & < 78.6,Suitable: >= 0 & < 5.9;  Marginal: >= 5.9 & < 10.8;  Unsuitable: >= 10.8 & < 59.9,Suitable: >= 0 & < 23.3;  Marginal: >= 23.3 & < 41.9;  Unsuitable: >= 41.9 & < 96.8,Suitable: >= 0 & < 26.2;  Marginal: >= 26.2 & < 48.3;  Unsuitable: >= 48.3 & < 100,Suitable: >= 0 & < 10.2;  Marginal: >= 10.2 & < 16.1;  Unsuitable: >= 16.1 & < 58
Between Canopy Herbaceous and Woody Litter Cover (%),FH_WoodyAndHerbLitterCover,LHA Standard 1: Is litter accumulating in place and not sorted by normal overland water flow?,Suitable: >= 9.3 & < 22;  Marginal: >= 22 & < 66;  Unsuitable: >= 0 & < 9.3,Suitable: >= 12 & < 26.7;  Marginal: >= 26.7 & < 80.7;  Unsuitable: >= 0 & < 12,Suitable: >= 8.7 & < 18.7;  Marginal: >= 18.7 & < 56;  Unsuitable: >= 1 & < 8.7,Suitable: >= 9.3 & < 21.8;  Marginal: >= 21.8 & < 84.7;  Unsuitable: >= 0 & < 9.3,Suitable: >= 7.3 & < 20;  Marginal: >= 20 & < 41.3;  Unsuitable: >= 1.3 & < 7.3,Suitable: >= 6.9 & < 17.3;  Marginal: >= 17.3 & < 54;  Unsuitable: >= 0 & < 6.9,Suitable: >= 7.5 & < 20.8;  Marginal: >= 20.8 & < 41.3;  Unsuitable: >= 0 & < 7.5,Suitable: >= 5.3 & < 15.9;  Marginal: >= 15.9 & < 58;  Unsuitable: >= 0 & < 5.3,Suitable: >= 5.8 & < 16.2;  Marginal: >= 16.2 & < 47.5;  Unsuitable: >= 0 & < 5.8,Suitable: >= 6 & < 14.7;  Marginal: >= 14.7 & < 25.3;  Unsuitable: >= 0 & < 6,Suitable: >= 7.3 & < 16.7;  Marginal: >= 16.7 & < 76;  Unsuitable: >= 0 & < 7.3,Suitable: >= 6.9 & < 17.8;  Marginal: >= 17.8 & < 56;  Unsuitable: >= 0 & < 6.9,Suitable: >= 3 & < 14.7;  Marginal: >= 14.7 & < 28;  Unsuitable: >= 0 & < 3,Suitable: >= 5.3 & < 15.8;  Marginal: >= 15.8 & < 57.3;  Unsuitable: >= 0 & < 5.3,Suitable: >= 8.7 & < 21.4;  Marginal: >= 21.4 & < 47.3;  Unsuitable: >= 0 & < 8.7
Non-invasive Perennial Forb Cover (%),AH_NonNoxPerenForbCover,LHA Standard 3: Are native plant communities spatially distributed across the landscape with a composition and frequency of species suitable to ensure reproductive capability and sustainability?,Suitable: >= 3 & < 42;  Marginal: >= 1.3 & < 3;  Unsuitable: >= 0 & < 1.3,Suitable: >= 2.7 & < 33.3;  Marginal: >= 1.3 & < 2.7;  Unsuitable: >= 0 & < 1.3,Suitable: >= 2 & < 25.3;  Marginal: >= 1.3 & < 2;  Unsuitable: >= 0 & < 1.3,Suitable: >= 3.3 & < 70.7;  Marginal: >= 1.3 & < 3.3;  Unsuitable: >= 0 & < 1.3,Suitable: >= 2.7 & < 32.7;  Marginal: >= 2 & < 2.7;  Unsuitable: >= 0 & < 2,Suitable: >= 2 & < 29.3;  Marginal: >= 1 & < 2;  Unsuitable: >= 0 & < 1,Suitable: >= 2.8 & < 26.7;  Marginal: >= 1.3 & < 2.8;  Unsuitable: >= 0 & < 1.3,Suitable: >= 9.3 & < 89.3;  Marginal: >= 4 & < 9.3;  Unsuitable: >= 0 & < 4,Suitable: >= 2 & < 10.9;  Marginal: >= 1.3 & < 2;  Unsuitable: >= 0 & < 1.3,Suitable: >= 7.9 & < 65.3;  Marginal: >= 4.7 & < 7.9;  Unsuitable: >= 0 & < 4.7,Suitable: >= 8.7 & < 66.7;  Marginal: >= 4 & < 8.7;  Unsuitable: >= 0 & < 4,Suitable: >= 6.7 & < 86;  Marginal: >= 3 & < 6.7;  Unsuitable: >= 0 & < 3,Suitable: >= 2 & < 26;  Marginal: >= 1 & < 2;  Unsuitable: >= 0 & < 1,Suitable: >= 1.3 & < 12.9;  Marginal: >= 1 & < 1.3;  Unsuitable: >= 0 & < 1,Suitable: >= 6.9 & < 46.7;  Marginal: >= 3 & < 6.9;  Unsuitable: >= 0 & < 3
Perennial Forb Height (cm),Hgt_PerenForb_Avg,NA,Suitable: >= 14 & < 86.3;  Marginal: >= 8.7 & < 14;  Unsuitable: >= 0 & < 8.7,Suitable: >= 13.8 & < 86;  Marginal: >= 8.8 & < 13.8;  Unsuitable: >= 1 & < 8.8,Suitable: >= 13 & < 109.5;  Marginal: >= 7.6 & < 13;  Unsuitable: >= 1 & < 7.6,Suitable: >= 17 & < 93;  Marginal: >= 9.6 & < 17;  Unsuitable: >= 1 & < 9.6,Suitable: >= 15.4 & < 55;  Marginal: >= 11.9 & < 15.4;  Unsuitable: >= 1 & < 11.9,Suitable: >= 10.8 & < 53;  Marginal: >= 6 & < 10.8;  Unsuitable: >= 1 & < 6,Suitable: >= 19.8 & < 50.5;  Marginal: >= 11.7 & < 19.8;  Unsuitable: >= 5.1 & < 11.7,Suitable: >= 19.5 & < 105.8;  Marginal: >= 9.9 & < 19.5;  Unsuitable: >= 2.4 & < 9.9,Suitable: >= 9 & < 88.7;  Marginal: >= 5 & < 9;  Unsuitable: >= 2.5 & < 5,Suitable: >= 25.4 & < 71.3;  Marginal: >= 14.6 & < 25.4;  Unsuitable: >= 4.7 & < 14.6,Suitable: >= 15.7 & < 76.2;  Marginal: >= 9.1 & < 15.7;  Unsuitable: >= 1.3 & < 9.1,Suitable: >= 18.2 & < 91.4;  Marginal: >= 8.9 & < 18.2;  Unsuitable: >= 1 & < 8.9,Suitable: >= 8.4 & < 45.7;  Marginal: >= 6 & < 8.4;  Unsuitable: >= 1 & < 6,Suitable: >= 10.2 & < 52.5;  Marginal: >= 5.9 & < 10.2;  Unsuitable: >= 0 & < 5.9,Suitable: >= 18.5 & < 100;  Marginal: >= 12.8 & < 18.5;  Unsuitable: >= 3 & < 12.8
Non-invasive Perennial Grass Cover (%),AH_NonNoxPerenGrassCover,LHA Standard 3: Are native plant communities spatially distributed across the landscape with a composition and frequency of species suitable to ensure reproductive capability and sustainability?,Suitable: >= 6.7 & < 81.2;  Marginal: >= 1.3 & < 6.7;  Unsuitable: >= 0 & < 1.3,Suitable: >= 12.9 & < 66.7;  Marginal: >= 4 & < 12.9;  Unsuitable: >= 0 & < 4,Suitable: >= 4.7 & < 67.3;  Marginal: >= 0.7 & < 4.7;  Unsuitable: >= 0 & < 0.7,Suitable: >= 14.9 & < 94;  Marginal: >= 4.7 & < 14.9;  Unsuitable: >= 0 & < 4.7,Suitable: >= 8.9 & < 60.7;  Marginal: >= 2 & < 8.9;  Unsuitable: >= 0 & < 2,Suitable: >= 13.1 & < 56.7;  Marginal: >= 4.6 & < 13.1;  Unsuitable: >= 0 & < 4.6,Suitable: >= 9.3 & < 84.2;  Marginal: >= 2.1 & < 9.3;  Unsuitable: >= 0 & < 2.1,Suitable: >= 22.7 & < 80;  Marginal: >= 10 & < 22.7;  Unsuitable: >= 0 & < 10,Suitable: >= 10.3 & < 62.4;  Marginal: >= 2.9 & < 10.3;  Unsuitable: >= 0 & < 2.9,Suitable: >= 21.4 & < 64;  Marginal: >= 8.2 & < 21.4;  Unsuitable: >= 0 & < 8.2,Suitable: >= 21.3 & < 68.7;  Marginal: >= 12.7 & < 21.3;  Unsuitable: >= 0 & < 12.7,Suitable: >= 28.7 & < 92;  Marginal: >= 17.3 & < 28.7;  Unsuitable: >= 0 & < 17.3,Suitable: >= 8.3 & < 51.5;  Marginal: >= 3 & < 8.3;  Unsuitable: >= 0 & < 3,Suitable: >= 5.3 & < 63.4;  Marginal: >= 1 & < 5.3;  Unsuitable: >= 0 & < 1,Suitable: >= 31 & < 76.2;  Marginal: >= 18.8 & < 31;  Unsuitable: >= 0 & < 18.8
Non-invasive Perennial Grass Height (cm),Hgt_NonNoxPerenGrass_Avg,LHA Standard 3: Are native plant communities spatially distributed across the landscape with a composition and frequency of species suitable to ensure reproductive capability and sustainability?,Suitable: >= 23.8 & < 127;  Marginal: >= 17.5 & < 23.8;  Unsuitable: >= 1 & < 17.5,Suitable: >= 23.5 & < 67.2;  Marginal: >= 17.4 & < 23.5;  Unsuitable: >= 3 & < 17.4,Suitable: >= 24.3 & < 76.2;  Marginal: >= 17.5 & < 24.3;  Unsuitable: >= 2.5 & < 17.5,Suitable: >= 27 & < 103.8;  Marginal: >= 20.4 & < 27;  Unsuitable: >= 1 & < 20.4,Suitable: >= 25.5 & < 72.1;  Marginal: >= 15.8 & < 25.5;  Unsuitable: >= 6 & < 15.8,Suitable: >= 21.8 & < 56.1;  Marginal: >= 16.5 & < 21.8;  Unsuitable: >= 5 & < 16.5,Suitable: >= 25.5 & < 59.5;  Marginal: >= 19 & < 25.5;  Unsuitable: >= 7.9 & < 19,Suitable: >= 28.1 & < 112.7;  Marginal: >= 21.5 & < 28.1;  Unsuitable: >= 5.7 & < 21.5,Suitable: >= 21.6 & < 92.8;  Marginal: >= 15.6 & < 21.6;  Unsuitable: >= 7.6 & < 15.6,Suitable: >= 34.4 & < 87.5;  Marginal: >= 26.9 & < 34.4;  Unsuitable: >= 13.8 & < 26.9,Suitable: >= 25.6 & < 73.8;  Marginal: >= 20.5 & < 25.6;  Unsuitable: >= 9 & < 20.5,Suitable: >= 24.8 & < 84;  Marginal: >= 19.5 & < 24.8;  Unsuitable: >= 8.6 & < 19.5,Suitable: >= 20 & < 72.6;  Marginal: >= 13.8 & < 20;  Unsuitable: >= 4.5 & < 13.8,Suitable: >= 21.7 & < 61;  Marginal: >= 14.9 & < 21.7;  Unsuitable: >= 1 & < 14.9,Suitable: >= 30 & < 59.5;  Marginal: >= 24.8 & < 30;  Unsuitable: >= 9.9 & < 24.8
